Time-stamp [msec];average number of samplings per node;average hopcount of received frames;average number of received sourced frames per node;relative delivery error [%];average energy of nodes [%];average communication energy of nodes [%];average number of extreme samplings per node;rate of alive nodes [%]
537800;8.250000;2.932879;4.283333;48.080808;25.484457;30.686525;4.066667;75.833333
537900;8.250000;2.932879;4.283333;48.080808;25.484445;30.686525;4.066667;75.833333
538000;8.250000;2.932879;4.283333;48.080808;25.484433;30.686525;4.066667;75.833333
538100;8.250000;2.932879;4.283333;48.080808;25.484421;30.686525;4.066667;75.833333
538200;8.250000;2.932879;4.283333;48.080808;25.484409;30.686525;4.066667;75.833333
538300;8.250000;2.932879;4.283333;48.080808;25.484397;30.686525;4.066667;75.833333
538400;8.250000;2.932879;4.283333;48.080808;25.484386;30.686525;4.066667;75.833333
538500;8.258333;2.932879;4.283333;48.133199;25.484243;30.686529;4.075000;75.833333
538600;8.258333;2.932879;4.283333;48.133199;25.484231;30.686529;4.075000;75.833333
538700;8.258333;2.932879;4.283333;48.133199;25.484219;30.686529;4.075000;75.833333
538800;8.258333;2.932879;4.283333;48.133199;25.484207;30.686529;4.075000;75.833333
538900;8.258333;2.932879;4.283333;48.133199;25.484195;30.686529;4.075000;75.833333
539000;8.258333;2.932879;4.283333;48.133199;25.484184;30.686529;4.075000;75.833333
539100;8.258333;2.932879;4.283333;48.133199;25.484172;30.686529;4.075000;75.833333
539200;8.258333;2.932879;4.283333;48.133199;25.484160;30.686529;4.075000;75.833333
539300;8.258333;2.932879;4.283333;48.133199;25.484148;30.686529;4.075000;75.833333
539400;8.258333;2.932879;4.283333;48.133199;25.484136;30.686529;4.075000;75.833333
539500;8.258333;2.932879;4.283333;48.133199;25.484124;30.686529;4.075000;75.833333
539600;8.258333;2.932879;4.283333;48.133199;25.484112;30.686529;4.075000;75.833333
539700;8.266667;2.932879;4.283333;48.185484;25.468376;30.686534;4.083333;75.833333
539800;8.266667;2.932879;4.283333;48.185484;25.394007;30.686534;4.083333;75.833333
539900;8.266667;2.932879;4.283333;48.185484;25.319637;30.686534;4.083333;75.833333
540000;8.266667;2.932879;4.283333;48.185484;25.245268;30.686534;4.083333;75.833333
540100;8.658333;2.931992;4.350000;49.759384;24.779561;31.027871;4.083333;75.000000
540200;8.658333;2.931992;4.350000;49.759384;24.706436;31.027871;4.083333;75.000000
540300;8.658333;2.931992;4.350000;49.759384;24.633311;31.027871;4.083333;75.000000
540400;8.658333;2.931992;4.350000;49.759384;24.560186;31.027871;4.083333;75.000000
540500;8.658333;2.931992;4.350000;49.759384;24.487061;31.027871;4.083333;75.000000
540600;8.658333;2.931992;4.350000;49.759384;24.413936;31.027871;4.083333;75.000000
540700;8.658333;2.931992;4.350000;49.759384;24.340811;31.027871;4.083333;75.000000
540800;8.666667;2.931992;4.350000;49.807692;24.267645;31.027875;4.091667;75.000000
540900;8.666667;2.931992;4.350000;49.807692;24.194520;31.027875;4.091667;75.000000
541000;8.666667;2.931992;4.350000;49.807692;24.121395;31.027875;4.091667;75.000000
541100;8.666667;2.931992;4.350000;49.807692;24.048270;31.027875;4.091667;75.000000
541200;8.666667;2.931992;4.350000;49.807692;23.975145;31.027875;4.091667;75.000000
541300;8.666667;2.931992;4.350000;49.807692;23.902020;31.027875;4.091667;75.000000
541400;8.666667;2.931992;4.350000;49.807692;23.828895;31.027875;4.091667;75.000000
541500;8.666667;2.931992;4.350000;49.807692;23.755770;31.027875;4.091667;75.000000
541600;8.675000;2.931992;4.350000;49.855908;23.682945;31.027880;4.100000;74.166667
541700;8.675000;2.931992;4.350000;49.855908;23.610632;31.027880;4.100000;74.166667
541800;8.675000;2.931992;4.350000;49.855908;23.538320;31.027880;4.100000;74.166667
541900;8.675000;2.931992;4.350000;49.855908;23.466007;31.027880;4.100000;74.166667
542000;8.675000;2.931992;4.350000;49.855908;23.393695;31.027880;4.100000;74.166667
542100;8.675000;2.931992;4.350000;49.855908;23.321382;31.027880;4.100000;74.166667
542200;8.675000;2.931992;4.350000;49.855908;23.249070;31.027880;4.100000;74.166667
542300;8.675000;2.931992;4.350000;49.855908;23.176757;31.027880;4.100000;74.166667
542400;8.675000;2.931992;4.350000;49.855908;23.104445;31.027880;4.100000;74.166667
542500;8.675000;2.931992;4.350000;49.855908;23.032132;31.027880;4.100000;74.166667
542600;8.691667;2.931992;4.350000;49.952061;22.959737;31.027889;4.116667;74.166667
542700;8.691667;2.931992;4.350000;49.952061;22.887425;31.027889;4.116667;74.166667
542800;8.691667;2.931992;4.350000;49.952061;22.815324;31.027889;4.116667;73.333333
542900;8.691667;2.931992;4.350000;49.952061;22.744140;31.027889;4.116667;71.666667
543000;8.691667;2.931992;4.350000;49.952061;22.674265;31.027889;4.116667;71.666667
543100;8.691667;2.931992;4.350000;49.952061;22.604390;31.027889;4.116667;71.666667
543200;8.691667;2.931992;4.350000;49.952061;22.534515;31.027889;4.116667;71.666667
543300;8.691667;2.931992;4.350000;49.952061;22.464730;31.027889;4.116667;70.833333
543400;8.691667;2.931992;4.350000;49.952061;22.395667;31.027889;4.116667;70.833333
543500;8.691667;2.931992;4.350000;49.952061;22.326605;31.027889;4.116667;70.833333
543600;8.691667;2.931992;4.350000;49.952061;22.257542;31.027889;4.116667;70.833333
543700;8.691667;2.931992;4.350000;49.952061;22.188480;31.027889;4.116667;70.833333
543800;8.691667;2.931992;4.350000;49.952061;22.119417;31.027889;4.116667;70.833333
543900;8.691667;2.931992;4.350000;49.952061;22.050355;31.027889;4.116667;70.833333
544000;8.691667;2.931992;4.350000;49.952061;21.981869;31.027889;4.116667;70.000000
544100;8.691667;2.931992;4.350000;49.952061;21.913619;31.027889;4.116667;70.000000
544200;8.691667;2.931992;4.350000;49.952061;21.845369;31.027889;4.116667;70.000000
544300;8.691667;2.931992;4.350000;49.952061;21.777119;31.027889;4.116667;70.000000
544400;8.691667;2.931992;4.350000;49.952061;21.708869;31.027889;4.116667;70.000000
544500;8.691667;2.931992;4.350000;49.952061;21.640619;31.027889;4.116667;70.000000
544600;8.691667;2.931992;4.350000;49.952061;21.572369;31.027889;4.116667;70.000000
544700;8.691667;2.931992;4.350000;49.952061;21.511626;31.027889;4.116667;70.000000
544800;8.691667;2.931992;4.350000;49.952061;21.511616;31.027889;4.116667;70.000000
544900;8.691667;2.931992;4.350000;49.952061;21.511605;31.027889;4.116667;70.000000
545000;8.691667;2.931992;4.350000;49.952061;21.511594;31.027889;4.116667;70.000000
545100;8.691667;2.931992;4.350000;49.952061;21.511583;31.027889;4.116667;70.000000
545200;8.691667;2.931992;4.350000;49.952061;21.511572;31.027889;4.116667;70.000000
545300;8.691667;2.931992;4.350000;49.952061;21.511561;31.027889;4.116667;70.000000
545400;8.691667;2.931992;4.350000;49.952061;21.511550;31.027889;4.116667;70.000000
545500;8.691667;2.931992;4.350000;49.952061;21.511539;31.027889;4.116667;70.000000
545600;8.691667;2.931992;4.350000;49.952061;21.511528;31.027889;4.116667;70.000000
545700;8.691667;2.931992;4.350000;49.952061;21.511517;31.027889;4.116667;70.000000
545800;8.691667;2.931992;4.350000;49.952061;21.511506;31.027889;4.116667;70.000000
545900;8.691667;2.931992;4.350000;49.952061;21.511495;31.027889;4.116667;70.000000
546000;8.691667;2.931992;4.350000;49.952061;21.511484;31.027889;4.116667;70.000000
546100;8.691667;2.931992;4.350000;49.952061;21.511473;31.027889;4.116667;70.000000
546200;8.691667;2.931992;4.350000;49.952061;21.511462;31.027889;4.116667;70.000000
546300;8.691667;2.931992;4.350000;49.952061;21.511451;31.027889;4.116667;70.000000
546400;8.691667;2.931992;4.350000;49.952061;21.511440;31.027889;4.116667;70.000000
546500;8.691667;2.931992;4.350000;49.952061;21.511429;31.027889;4.116667;70.000000
546600;8.691667;2.931992;4.350000;49.952061;21.511418;31.027889;4.116667;70.000000
546700;8.691667;2.931992;4.350000;49.952061;21.511407;31.027889;4.116667;70.000000
546800;8.691667;2.931992;4.350000;49.952061;21.511396;31.027889;4.116667;70.000000
546900;8.691667;2.931992;4.350000;49.952061;21.511385;31.027889;4.116667;70.000000
547000;8.691667;2.931992;4.350000;49.952061;21.511374;31.027889;4.116667;70.000000
547100;8.691667;2.931992;4.350000;49.952061;21.511363;31.027889;4.116667;70.000000
547200;8.691667;2.931992;4.350000;49.952061;21.511352;31.027889;4.116667;70.000000
547300;8.691667;2.931992;4.350000;49.952061;21.511341;31.027889;4.116667;70.000000
547400;8.691667;2.931992;4.350000;49.952061;21.511330;31.027889;4.116667;70.000000
547500;8.691667;2.931992;4.350000;49.952061;21.511319;31.027889;4.116667;70.000000
547600;8.691667;2.931992;4.350000;49.952061;21.511308;31.027889;4.116667;70.000000
547700;8.691667;2.931992;4.350000;49.952061;21.511297;31.027889;4.116667;70.000000
547800;8.691667;2.931992;4.350000;49.952061;21.511286;31.027889;4.116667;70.000000
547900;8.691667;2.931992;4.350000;49.952061;21.511214;31.027889;4.116667;70.000000
548000;8.700000;2.928298;4.358333;49.904215;21.505657;31.032872;4.125000;70.000000
548100;8.700000;2.928298;4.358333;49.904215;21.505646;31.032872;4.125000;70.000000
548200;8.700000;2.928298;4.358333;49.904215;21.505635;31.032872;4.125000;70.000000
548300;8.700000;2.928298;4.358333;49.904215;21.505624;31.032872;4.125000;70.000000
548400;8.700000;2.928298;4.358333;49.904215;21.505613;31.032872;4.125000;70.000000
548500;8.700000;2.928298;4.358333;49.904215;21.505602;31.032872;4.125000;70.000000
548600;8.700000;2.928298;4.358333;49.904215;21.505591;31.032872;4.125000;70.000000
548700;8.700000;2.928298;4.358333;49.904215;21.505580;31.032872;4.125000;70.000000
548800;8.700000;2.928298;4.358333;49.904215;21.505569;31.032872;4.125000;70.000000
548900;8.700000;2.928298;4.358333;49.904215;21.505558;31.032872;4.125000;70.000000
549000;8.700000;2.928298;4.358333;49.904215;21.505547;31.032872;4.125000;70.000000
549100;8.700000;2.928298;4.358333;49.904215;21.505536;31.032872;4.125000;70.000000
549200;8.700000;2.928298;4.358333;49.904215;21.505525;31.032872;4.125000;70.000000
549300;8.700000;2.928298;4.358333;49.904215;21.505514;31.032872;4.125000;70.000000
549400;8.700000;2.928298;4.358333;49.904215;21.505503;31.032872;4.125000;70.000000
549500;8.700000;2.928298;4.358333;49.904215;21.505492;31.032872;4.125000;70.000000
549600;8.700000;2.928298;4.358333;49.904215;21.505481;31.032872;4.125000;70.000000
549700;8.700000;2.928298;4.358333;49.904215;21.505470;31.032872;4.125000;70.000000
549800;8.700000;2.928298;4.358333;49.904215;21.505459;31.032872;4.125000;70.000000
549900;8.700000;2.928298;4.358333;49.904215;21.505448;31.032872;4.125000;70.000000
550000;8.700000;2.928298;4.358333;49.904215;21.505437;31.032872;4.125000;70.000000
550100;8.700000;2.928298;4.358333;49.904215;21.505426;31.032872;4.125000;70.000000
550200;8.700000;2.928298;4.358333;49.904215;21.505415;31.032872;4.125000;70.000000
550300;8.700000;2.928298;4.358333;49.904215;21.505404;31.032872;4.125000;70.000000
550400;8.700000;2.928298;4.358333;49.904215;21.505393;31.032872;4.125000;70.000000
550500;8.700000;2.928298;4.358333;49.904215;21.505382;31.032872;4.125000;70.000000
550600;8.700000;2.928298;4.358333;49.904215;21.505371;31.032872;4.125000;70.000000
550700;8.700000;2.928298;4.358333;49.904215;21.505360;31.032872;4.125000;70.000000
550800;8.700000;2.928298;4.358333;49.904215;21.505349;31.032872;4.125000;70.000000
550900;8.700000;2.928298;4.358333;49.904215;21.505338;31.032872;4.125000;70.000000
551000;8.700000;2.928298;4.358333;49.904215;21.505327;31.032872;4.125000;70.000000
551100;8.700000;2.928298;4.358333;49.904215;21.505316;31.032872;4.125000;70.000000
551200;8.700000;2.928298;4.358333;49.904215;21.505305;31.032872;4.125000;70.000000
551300;8.700000;2.928298;4.358333;49.904215;21.505294;31.032872;4.125000;70.000000
551400;8.700000;2.928298;4.358333;49.904215;21.505283;31.032872;4.125000;70.000000
551500;8.700000;2.928298;4.358333;49.904215;21.505272;31.032872;4.125000;70.000000
551600;8.700000;2.928298;4.358333;49.904215;21.505261;31.032872;4.125000;70.000000
551700;8.700000;2.928298;4.358333;49.904215;21.505250;31.032872;4.125000;70.000000
551800;8.700000;2.928298;4.358333;49.904215;21.505239;31.032872;4.125000;70.000000
551900;8.700000;2.928298;4.358333;49.904215;21.505228;31.032872;4.125000;70.000000
552000;8.700000;2.928298;4.358333;49.904215;21.505217;31.032872;4.125000;70.000000
552100;8.700000;2.928298;4.358333;49.904215;21.505206;31.032872;4.125000;70.000000
552200;8.700000;2.928298;4.358333;49.904215;21.505195;31.032872;4.125000;70.000000
552300;8.700000;2.928298;4.358333;49.904215;21.505184;31.032872;4.125000;70.000000
552400;8.700000;2.928298;4.358333;49.904215;21.505173;31.032872;4.125000;70.000000
552500;8.700000;2.928298;4.358333;49.904215;21.505162;31.032872;4.125000;70.000000
552600;8.700000;2.928298;4.358333;49.904215;21.505151;31.032872;4.125000;70.000000
552700;8.700000;2.928298;4.358333;49.904215;21.505140;31.032872;4.125000;70.000000
552800;8.700000;2.928298;4.358333;49.904215;21.505129;31.032872;4.125000;70.000000
552900;8.700000;2.928298;4.358333;49.904215;21.505118;31.032872;4.125000;70.000000
553000;8.700000;2.928298;4.358333;49.904215;21.505107;31.032872;4.125000;70.000000
553100;8.700000;2.928298;4.358333;49.904215;21.505096;31.032872;4.125000;70.000000
553200;8.700000;2.928298;4.358333;49.904215;21.505085;31.032872;4.125000;70.000000
553300;8.700000;2.928298;4.358333;49.904215;21.505074;31.032872;4.125000;70.000000
553400;8.700000;2.928298;4.358333;49.904215;21.505063;31.032872;4.125000;70.000000
553500;8.700000;2.928298;4.358333;49.904215;21.505052;31.032872;4.125000;70.000000
553600;8.700000;2.928298;4.358333;49.904215;21.505041;31.032872;4.125000;70.000000
553700;8.700000;2.928298;4.358333;49.904215;21.505030;31.032872;4.125000;70.000000
553800;8.700000;2.928298;4.358333;49.904215;21.505019;31.032872;4.125000;70.000000
553900;8.700000;2.928298;4.358333;49.904215;21.505008;31.032872;4.125000;70.000000
554000;8.700000;2.928298;4.358333;49.904215;21.504997;31.032872;4.125000;70.000000
554100;8.700000;2.928298;4.358333;49.904215;21.504986;31.032872;4.125000;70.000000
554200;8.700000;2.928298;4.358333;49.904215;21.504975;31.032872;4.125000;70.000000
554300;8.700000;2.928298;4.358333;49.904215;21.504964;31.032872;4.125000;70.000000
554400;8.700000;2.928298;4.358333;49.904215;21.504892;31.032872;4.125000;70.000000
554500;8.708333;2.924618;4.366667;49.856459;21.502760;31.034742;4.133333;70.000000
554600;8.708333;2.924618;4.366667;49.856459;21.502749;31.034742;4.133333;70.000000
554700;8.708333;2.924618;4.366667;49.856459;21.502738;31.034742;4.133333;70.000000
554800;8.708333;2.924618;4.366667;49.856459;21.502727;31.034742;4.133333;70.000000
554900;8.708333;2.924618;4.366667;49.856459;21.502716;31.034742;4.133333;70.000000
555000;8.708333;2.924618;4.366667;49.856459;21.502705;31.034742;4.133333;70.000000
555100;8.708333;2.924618;4.366667;49.856459;21.502694;31.034742;4.133333;70.000000
555200;8.708333;2.924618;4.366667;49.856459;21.502683;31.034742;4.133333;70.000000
555300;8.708333;2.924618;4.366667;49.856459;21.502672;31.034742;4.133333;70.000000
555400;8.708333;2.924618;4.366667;49.856459;21.502661;31.034742;4.133333;70.000000
555500;8.708333;2.924618;4.366667;49.856459;21.502589;31.034742;4.133333;70.000000
555600;8.716667;2.920952;4.375000;49.808795;21.489855;31.046251;4.141667;70.000000
555700;8.716667;2.920952;4.375000;49.808795;21.489844;31.046251;4.141667;70.000000
555800;8.716667;2.920952;4.375000;49.808795;21.489833;31.046251;4.141667;70.000000
555900;8.716667;2.920952;4.375000;49.808795;21.489822;31.046251;4.141667;70.000000
556000;8.716667;2.920952;4.375000;49.808795;21.489750;31.046251;4.141667;70.000000
556100;8.725000;2.920952;4.375000;49.856734;21.489669;31.046255;4.150000;70.000000
556200;8.725000;2.920952;4.375000;49.856734;21.489658;31.046255;4.150000;70.000000
556300;8.725000;2.920952;4.375000;49.856734;21.489647;31.046255;4.150000;70.000000
556400;8.725000;2.920952;4.375000;49.856734;21.489636;31.046255;4.150000;70.000000
556500;8.725000;2.920952;4.375000;49.856734;21.489625;31.046255;4.150000;70.000000
556600;8.725000;2.920952;4.375000;49.856734;21.489614;31.046255;4.150000;70.000000
556700;8.725000;2.920952;4.375000;49.856734;21.489603;31.046255;4.150000;70.000000
556800;8.725000;2.920952;4.375000;49.856734;21.489592;31.046255;4.150000;70.000000
556900;8.725000;2.920952;4.375000;49.856734;21.489581;31.046255;4.150000;70.000000
557000;8.725000;2.920952;4.375000;49.856734;21.489570;31.046255;4.150000;70.000000
557100;8.725000;2.920952;4.375000;49.856734;21.489559;31.046255;4.150000;70.000000
557200;8.725000;2.920952;4.375000;49.856734;21.489548;31.046255;4.150000;70.000000
557300;8.725000;2.920952;4.375000;49.856734;21.489537;31.046255;4.150000;70.000000
557400;8.725000;2.920952;4.375000;49.856734;21.489526;31.046255;4.150000;70.000000
557500;8.725000;2.920952;4.375000;49.856734;21.489515;31.046255;4.150000;70.000000
557600;8.725000;2.920952;4.375000;49.856734;21.489504;31.046255;4.150000;70.000000
557700;8.725000;2.920952;4.375000;49.856734;21.489494;31.046255;4.150000;70.000000
557800;8.725000;2.920952;4.375000;49.856734;21.489483;31.046255;4.150000;70.000000
557900;8.725000;2.920952;4.375000;49.856734;21.489472;31.046255;4.150000;70.000000
558000;8.725000;2.920952;4.375000;49.856734;21.489461;31.046255;4.150000;70.000000
558100;8.725000;2.920952;4.375000;49.856734;21.489450;31.046255;4.150000;70.000000
558200;8.725000;2.920952;4.375000;49.856734;21.489439;31.046255;4.150000;70.000000
558300;8.725000;2.920952;4.375000;49.856734;21.489366;31.046255;4.150000;70.000000
558400;8.733333;2.920952;4.375000;49.904580;21.489286;31.046260;4.158333;70.000000
558500;8.733333;2.920952;4.375000;49.904580;21.489275;31.046260;4.158333;70.000000
558600;8.733333;2.920952;4.375000;49.904580;21.489264;31.046260;4.158333;70.000000
558700;8.741667;2.920952;4.375000;49.952336;21.489123;31.046264;4.166667;70.000000
558800;8.741667;2.920952;4.375000;49.952336;21.489112;31.046264;4.166667;70.000000
558900;8.741667;2.920952;4.375000;49.952336;21.489101;31.046264;4.166667;70.000000
559000;8.741667;2.920952;4.375000;49.952336;21.489090;31.046264;4.166667;70.000000
559100;8.741667;2.920952;4.375000;49.952336;21.489079;31.046264;4.166667;70.000000
559200;8.741667;2.920952;4.375000;49.952336;21.489068;31.046264;4.166667;70.000000
559300;8.741667;2.920952;4.375000;49.952336;21.489057;31.046264;4.166667;70.000000
559400;8.741667;2.920952;4.375000;49.952336;21.489046;31.046264;4.166667;70.000000
559500;8.741667;2.920952;4.375000;49.952336;21.489035;31.046264;4.166667;70.000000
559600;8.741667;2.920952;4.375000;49.952336;21.489024;31.046264;4.166667;70.000000
559700;8.741667;2.920952;4.375000;49.952336;21.489013;31.046264;4.166667;70.000000
559800;8.741667;2.920952;4.375000;49.952336;21.489002;31.046264;4.166667;70.000000
559900;8.741667;2.920952;4.375000;49.952336;21.488991;31.046264;4.166667;70.000000
560000;8.741667;2.920952;4.375000;49.952336;21.488980;31.046264;4.166667;70.000000
560100;8.741667;2.920952;4.375000;49.952336;21.488969;31.046264;4.166667;70.000000
560200;8.741667;2.920952;4.375000;49.952336;21.488958;31.046264;4.166667;70.000000
560300;8.741667;2.920952;4.375000;49.952336;21.488947;31.046264;4.166667;70.000000
560400;8.741667;2.920952;4.375000;49.952336;21.488936;31.046264;4.166667;70.000000
560500;8.741667;2.920952;4.375000;49.952336;21.488925;31.046264;4.166667;70.000000
560600;8.741667;2.920952;4.375000;49.952336;21.488853;31.046264;4.166667;70.000000
560700;8.750000;2.920952;4.375000;50.000000;21.488772;31.046269;4.175000;70.000000
560800;8.750000;2.920952;4.375000;50.000000;21.488761;31.046269;4.175000;70.000000
560900;8.750000;2.920952;4.375000;50.000000;21.488750;31.046269;4.175000;70.000000
561000;8.750000;2.920952;4.375000;50.000000;21.488739;31.046269;4.175000;70.000000
561100;8.750000;2.920952;4.375000;50.000000;21.488728;31.046269;4.175000;70.000000
561200;8.750000;2.920952;4.375000;50.000000;21.488717;31.046269;4.175000;70.000000
561300;8.750000;2.920952;4.375000;50.000000;21.488706;31.046269;4.175000;70.000000
561400;8.750000;2.920952;4.375000;50.000000;21.488695;31.046269;4.175000;70.000000
561500;8.750000;2.920952;4.375000;50.000000;21.488623;31.046269;4.175000;70.000000
561600;8.758333;2.917300;4.383333;49.952426;21.478302;31.055583;4.183333;70.000000
561700;8.766667;2.917300;4.383333;50.000000;21.478161;31.055588;4.191667;70.000000
561800;8.766667;2.917300;4.383333;50.000000;21.478150;31.055588;4.191667;70.000000
561900;8.766667;2.917300;4.383333;50.000000;21.478139;31.055588;4.191667;70.000000
562000;8.766667;2.917300;4.383333;50.000000;21.478128;31.055588;4.191667;70.000000
562100;8.766667;2.917300;4.383333;50.000000;21.478117;31.055588;4.191667;70.000000
562200;8.766667;2.917300;4.383333;50.000000;21.478106;31.055588;4.191667;70.000000
562300;8.766667;2.917300;4.383333;50.000000;21.478095;31.055588;4.191667;70.000000
562400;8.766667;2.917300;4.383333;50.000000;21.478084;31.055588;4.191667;70.000000
562500;8.766667;2.917300;4.383333;50.000000;21.478073;31.055588;4.191667;70.000000
562600;8.766667;2.917300;4.383333;50.000000;21.478062;31.055588;4.191667;70.000000
562700;8.766667;2.917300;4.383333;50.000000;21.478051;31.055588;4.191667;70.000000
562800;8.766667;2.917300;4.383333;50.000000;21.478040;31.055588;4.191667;70.000000
562900;8.766667;2.917300;4.383333;50.000000;21.478029;31.055588;4.191667;70.000000
563000;8.766667;2.917300;4.383333;50.000000;21.478018;31.055588;4.191667;70.000000
563100;8.766667;2.917300;4.383333;50.000000;21.478007;31.055588;4.191667;70.000000
563200;8.766667;2.917300;4.383333;50.000000;21.477996;31.055588;4.191667;70.000000
563300;8.766667;2.917300;4.383333;50.000000;21.477985;31.055588;4.191667;70.000000
563400;8.766667;2.917300;4.383333;50.000000;21.477974;31.055588;4.191667;70.000000
563500;8.766667;2.917300;4.383333;50.000000;21.477963;31.055588;4.191667;70.000000
563600;8.766667;2.917300;4.383333;50.000000;21.477952;31.055588;4.191667;70.000000
563700;8.766667;2.917300;4.383333;50.000000;21.477941;31.055588;4.191667;70.000000
563800;8.766667;2.917300;4.383333;50.000000;21.477930;31.055588;4.191667;70.000000
563900;8.766667;2.917300;4.383333;50.000000;21.477919;31.055588;4.191667;70.000000
564000;8.766667;2.917300;4.383333;50.000000;21.477847;31.055588;4.191667;70.000000
564100;8.775000;2.917300;4.383333;50.047483;21.477767;31.055592;4.200000;70.000000
564200;8.775000;2.917300;4.383333;50.047483;21.477756;31.055592;4.200000;70.000000
564300;8.783333;2.917300;4.383333;50.094877;21.477614;31.055597;4.208333;70.000000
564400;8.783333;2.917300;4.383333;50.094877;21.477603;31.055597;4.208333;70.000000
564500;8.783333;2.917300;4.383333;50.094877;21.477592;31.055597;4.208333;70.000000
564600;8.791667;2.917300;4.383333;50.142180;21.477451;31.055601;4.216667;70.000000
564700;8.791667;2.917300;4.383333;50.142180;21.477440;31.055601;4.216667;70.000000
564800;8.791667;2.917300;4.383333;50.142180;21.477429;31.055601;4.216667;70.000000
564900;8.791667;2.917300;4.383333;50.142180;21.477418;31.055601;4.216667;70.000000
565000;8.791667;2.917300;4.383333;50.142180;21.477407;31.055601;4.216667;70.000000
565100;8.791667;2.917300;4.383333;50.142180;21.477396;31.055601;4.216667;70.000000
565200;8.791667;2.917300;4.383333;50.142180;21.477385;31.055601;4.216667;70.000000
565300;8.791667;2.917300;4.383333;50.142180;21.477374;31.055601;4.216667;70.000000
565400;8.791667;2.917300;4.383333;50.142180;21.477363;31.055601;4.216667;70.000000
565500;8.791667;2.917300;4.383333;50.142180;21.477352;31.055601;4.216667;70.000000
565600;8.791667;2.917300;4.383333;50.142180;21.477341;31.055601;4.216667;70.000000
565700;8.791667;2.917300;4.383333;50.142180;21.477330;31.055601;4.216667;70.000000
565800;8.791667;2.917300;4.383333;50.142180;21.477319;31.055601;4.216667;70.000000
565900;8.791667;2.917300;4.383333;50.142180;21.477308;31.055601;4.216667;70.000000
566000;8.791667;2.917300;4.383333;50.142180;21.477297;31.055601;4.216667;70.000000
566100;8.800000;2.917300;4.383333;50.189394;21.477155;31.055605;4.225000;70.000000
566200;8.800000;2.917300;4.383333;50.189394;21.477144;31.055605;4.225000;70.000000
566300;8.800000;2.917300;4.383333;50.189394;21.477133;31.055605;4.225000;70.000000
566400;8.800000;2.917300;4.383333;50.189394;21.477122;31.055605;4.225000;70.000000
566500;8.800000;2.917300;4.383333;50.189394;21.477111;31.055605;4.225000;70.000000
566600;8.800000;2.917300;4.383333;50.189394;21.477100;31.055605;4.225000;70.000000
566700;8.800000;2.917300;4.383333;50.189394;21.477089;31.055605;4.225000;70.000000
566800;8.800000;2.917300;4.383333;50.189394;21.477078;31.055605;4.225000;70.000000
566900;8.800000;2.917300;4.383333;50.189394;21.477067;31.055605;4.225000;70.000000
567000;8.800000;2.917300;4.383333;50.189394;21.476999;31.055605;4.225000;70.000000
567100;8.808333;2.917300;4.383333;50.236518;21.476915;31.055610;4.233333;70.000000
567200;8.808333;2.917300;4.383333;50.236518;21.476904;31.055610;4.233333;70.000000
567300;8.808333;2.917300;4.383333;50.236518;21.476893;31.055610;4.233333;70.000000
567400;8.808333;2.917300;4.383333;50.236518;21.476882;31.055610;4.233333;70.000000
567500;8.808333;2.917300;4.383333;50.236518;21.476871;31.055610;4.233333;70.000000
567600;8.808333;2.917300;4.383333;50.236518;21.476799;31.055610;4.233333;70.000000
567700;8.816667;2.917300;4.383333;50.283554;21.476718;31.055614;4.241667;70.000000
567800;8.816667;2.917300;4.383333;50.283554;21.476707;31.055614;4.241667;70.000000
567900;8.816667;2.917300;4.383333;50.283554;21.476696;31.055614;4.241667;70.000000
568000;8.816667;2.917300;4.383333;50.283554;21.476685;31.055614;4.241667;70.000000
568100;8.816667;2.917300;4.383333;50.283554;21.476674;31.055614;4.241667;70.000000
568200;8.816667;2.917300;4.383333;50.283554;21.476663;31.055614;4.241667;70.000000
568300;8.816667;2.917300;4.383333;50.283554;21.476652;31.055614;4.241667;70.000000
568400;8.816667;2.917300;4.383333;50.283554;21.476641;31.055614;4.241667;70.000000
568500;8.816667;2.917300;4.383333;50.283554;21.476630;31.055614;4.241667;70.000000
568600;8.816667;2.917300;4.383333;50.283554;21.476619;31.055614;4.241667;70.000000
568700;8.816667;2.917300;4.383333;50.283554;21.476608;31.055614;4.241667;70.000000
568800;8.816667;2.917300;4.383333;50.283554;21.476597;31.055614;4.241667;70.000000
568900;8.816667;2.917300;4.383333;50.283554;21.476586;31.055614;4.241667;70.000000
569000;8.816667;2.917300;4.383333;50.283554;21.476576;31.055614;4.241667;70.000000
569100;8.816667;2.917300;4.383333;50.283554;21.476565;31.055614;4.241667;70.000000
569200;8.816667;2.917300;4.383333;50.283554;21.476554;31.055614;4.241667;70.000000
569300;8.816667;2.917300;4.383333;50.283554;21.476481;31.055614;4.241667;70.000000
569400;8.825000;2.917300;4.383333;50.330500;21.476401;31.055619;4.250000;70.000000
569500;8.825000;2.917300;4.383333;50.330500;21.476390;31.055619;4.250000;70.000000
569600;8.825000;2.917300;4.383333;50.330500;21.476379;31.055619;4.250000;70.000000
569700;8.825000;2.917300;4.383333;50.330500;21.476368;31.055619;4.250000;70.000000
569800;8.825000;2.917300;4.383333;50.330500;21.476357;31.055619;4.250000;70.000000
569900;8.825000;2.917300;4.383333;50.330500;21.476285;31.055619;4.250000;70.000000
570000;8.833333;2.917300;4.383333;50.377358;21.476205;31.055623;4.258333;70.000000
