Time-stamp [msec];average number of samplings per node;average hopcount of received frames;average number of received sourced frames per node;relative delivery error [%];average energy of nodes [%];average communication energy of nodes [%];average number of extreme samplings per node;rate of alive nodes [%]
9500;0.641667;3.972603;0.608333;5.194805;89.098268;5.483359;0.100000;100.000000
9600;0.641667;3.972603;0.608333;5.194805;89.098253;5.483359;0.100000;100.000000
9700;0.641667;3.972603;0.608333;5.194805;89.098237;5.483359;0.100000;100.000000
9800;0.641667;3.972603;0.608333;5.194805;89.098221;5.483359;0.100000;100.000000
9900;0.641667;3.972603;0.608333;5.194805;89.098206;5.483359;0.100000;100.000000
10000;0.641667;3.972603;0.608333;5.194805;89.098190;5.483359;0.100000;100.000000
10100;0.641667;3.972603;0.608333;5.194805;89.098174;5.483359;0.100000;100.000000
10200;0.641667;3.972603;0.608333;5.194805;89.098159;5.483359;0.100000;100.000000
10300;0.641667;3.972603;0.608333;5.194805;89.098143;5.483359;0.100000;100.000000
10400;0.641667;3.972603;0.608333;5.194805;89.098127;5.483359;0.100000;100.000000
10500;0.641667;3.972603;0.608333;5.194805;89.098111;5.483359;0.100000;100.000000
10600;0.641667;3.972603;0.608333;5.194805;89.098096;5.483359;0.100000;100.000000
10700;0.641667;3.972603;0.608333;5.194805;89.098080;5.483359;0.100000;100.000000
10800;0.641667;3.972603;0.608333;5.194805;89.098064;5.483359;0.100000;100.000000
10900;0.641667;3.972603;0.608333;5.194805;89.098049;5.483359;0.100000;100.000000
11000;0.641667;3.972603;0.608333;5.194805;89.098033;5.483359;0.100000;100.000000
11100;0.641667;3.972603;0.608333;5.194805;89.098017;5.483359;0.100000;100.000000
11200;0.641667;3.972603;0.608333;5.194805;89.098001;5.483359;0.100000;100.000000
11300;0.641667;3.972603;0.608333;5.194805;89.097986;5.483359;0.100000;100.000000
11400;0.641667;3.972603;0.608333;5.194805;89.097970;5.483359;0.100000;100.000000
11500;0.641667;3.972603;0.608333;5.194805;89.097954;5.483359;0.100000;100.000000
11600;0.641667;3.972603;0.608333;5.194805;89.097939;5.483359;0.100000;100.000000
11700;0.641667;3.972603;0.608333;5.194805;89.097923;5.483359;0.100000;100.000000
11800;0.641667;3.972603;0.608333;5.194805;89.097907;5.483359;0.100000;100.000000
11900;0.641667;3.972603;0.608333;5.194805;89.097892;5.483359;0.100000;100.000000
12000;0.641667;3.972603;0.608333;5.194805;89.097876;5.483359;0.100000;100.000000
12100;0.641667;3.972603;0.608333;5.194805;89.097860;5.483359;0.100000;100.000000
12200;0.641667;3.972603;0.608333;5.194805;89.097844;5.483359;0.100000;100.000000
12300;0.641667;3.972603;0.608333;5.194805;89.097829;5.483359;0.100000;100.000000
12400;0.641667;3.972603;0.608333;5.194805;89.097813;5.483359;0.100000;100.000000
12500;0.650000;3.972603;0.608333;6.410256;89.095326;5.483387;0.108333;100.000000
12600;0.650000;3.945946;0.616667;5.128205;89.068447;5.509452;0.108333;100.000000
12700;0.650000;3.945946;0.616667;5.128205;89.068431;5.509452;0.108333;100.000000
12800;0.650000;3.945946;0.616667;5.128205;89.068416;5.509452;0.108333;100.000000
12900;0.650000;3.945946;0.616667;5.128205;89.068400;5.509452;0.108333;100.000000
13000;0.658333;3.933333;0.625000;5.063291;89.014768;5.557891;0.116667;100.000000
13100;0.666667;3.933333;0.625000;6.250000;88.968126;5.598735;0.125000;100.000000
13200;0.666667;3.933333;0.625000;6.250000;88.967857;5.598737;0.125000;100.000000
13300;0.666667;3.933333;0.625000;6.250000;88.967842;5.598737;0.125000;100.000000
13400;0.666667;3.933333;0.625000;6.250000;88.967826;5.598737;0.125000;100.000000
13500;0.666667;3.933333;0.625000;6.250000;88.967810;5.598737;0.125000;100.000000
13600;0.666667;3.933333;0.625000;6.250000;88.967794;5.598737;0.125000;100.000000
13700;0.666667;3.933333;0.625000;6.250000;88.967779;5.598737;0.125000;100.000000
13800;0.666667;3.933333;0.625000;6.250000;88.967763;5.598737;0.125000;100.000000
13900;0.666667;3.933333;0.625000;6.250000;88.967747;5.598737;0.125000;100.000000
14000;0.666667;3.933333;0.625000;6.250000;88.967732;5.598737;0.125000;100.000000
14100;0.675000;3.921053;0.633333;6.172840;88.919120;5.642618;0.133333;100.000000
14200;0.675000;3.921053;0.633333;6.172840;88.919104;5.642618;0.133333;100.000000
14300;0.675000;3.921053;0.633333;6.172840;88.919088;5.642618;0.133333;100.000000
14400;0.675000;3.921053;0.633333;6.172840;88.919073;5.642618;0.133333;100.000000
14500;0.675000;3.921053;0.633333;6.172840;88.919057;5.642618;0.133333;100.000000
14600;0.675000;3.921053;0.633333;6.172840;88.919041;5.642618;0.133333;100.000000
14700;0.675000;3.921053;0.633333;6.172840;88.919025;5.642618;0.133333;100.000000
14800;0.675000;3.921053;0.633333;6.172840;88.919010;5.642618;0.133333;100.000000
14900;0.675000;3.921053;0.633333;6.172840;88.918994;5.642618;0.133333;100.000000
15000;0.683333;3.921053;0.633333;7.317073;88.918848;5.642623;0.141667;100.000000
15100;0.683333;3.921053;0.633333;7.317073;88.918832;5.642623;0.141667;100.000000
15200;0.683333;3.921053;0.633333;7.317073;88.918816;5.642623;0.141667;100.000000
15300;0.683333;3.921053;0.633333;7.317073;88.918801;5.642623;0.141667;100.000000
15400;0.683333;3.921053;0.633333;7.317073;88.918785;5.642623;0.141667;100.000000
15500;0.683333;3.921053;0.633333;7.317073;88.918769;5.642623;0.141667;100.000000
15600;0.683333;3.921053;0.633333;7.317073;88.918754;5.642623;0.141667;100.000000
15700;0.683333;3.921053;0.633333;7.317073;88.918738;5.642623;0.141667;100.000000
15800;0.683333;3.921053;0.633333;7.317073;88.918722;5.642623;0.141667;100.000000
15900;0.683333;3.921053;0.633333;7.317073;88.918706;5.642623;0.141667;100.000000
16000;0.683333;3.921053;0.633333;7.317073;88.918691;5.642623;0.141667;100.000000
16100;0.683333;3.921053;0.633333;7.317073;88.918675;5.642623;0.141667;100.000000
16200;0.683333;3.921053;0.633333;7.317073;88.918659;5.642623;0.141667;100.000000
